Dates,Total_Vaccinations,Daily_Vaccinations,First_Dose_Total,First_Dose_Daily,Second_Dose_Total,Second_Dose_Daily
28/12/20,447,447,447,447,0,0
29/12/20,1077,630,1077,630,0,0
30/12/20,1722,645,1722,645,0,0
31/12/20,2339,617,2339,617,0,0
01/01/21,2603,264,2603,264,0,0
02/01/21,3149,546,3149,546,0,0
03/01/21,3869,720,3869,720,0,0
04/01/21,10327,6458,10327,6458,0,0
05/01/21,16631,6304,16631,6304,0,0
06/01/21,20616,3985,20616,3985,0,0
07/01/21,26445,5829,26445,5829,0,0
08/01/21,35272,8827,35272,8827,0,0
09/01/21,40427,5155,40427,5155,0,0
10/01/21,44645,4218,44645,4218,0,0
11/01/21,50045,5400,50045,5400,0,0
12/01/21,56475,6430,56475,6430,0,0
13/01/21,64932,8457,64932,8457,0,0
14/01/21,70960,6028,70960,6028,0,0
15/01/21,75412,4452,75412,4452,0,0
16/01/21,80391,4979,80389,4977,2,2
17/01/21,80391,0,80389,0,2,0
18/01/21,85898,5507,85475,5086,423,421
19/01/21,94454,8556,93382,7907,1072,649
20/01/21,109831,15377,108167,14785,1664,592
21/01/21,125928,16097,123667,15500,2261,597
22/01/21,143877,17949,141298,17631,2579,318
23/01/21,160101,16224,156966,15668,3135,556
24/01/21,160101,0,156966,0,3135,0
25/01/21,179951,19850,171890,14924,8061,4926
26/01/21,197755,17804,184610,12720,13145,5084
27/01/21,216040,18285,198161,13551,17879,4734
28/01/21,234285,18245,210488,12327,23797,5918
29/01/21,253363,19078,220621,10133,32742,8945
30/01/21,271287,17924,232399,11778,38888,6146
31/01/21,271287,0,232399,0,38888,0
01/02/21,293817,22530,247251,14852,46566,7678
02/02/21,315628,21811,261543,14292,54085,7519
03/02/21,338122,22494,276103,14560,62019,7934
04/02/21,359723,21601,291259,15156,68464,6445
05/02/21,380136,20413,306441,15182,73695,5231
06/02/21,397857,17721,318097,11656,79760,6065
07/02/21,397857,0,318097,0,79760,0
08/02/21,417565,19708,332812,14715,84753,4993
09/02/21,437872,20307,345290,12478,92582,7829
10/02/21,459535,21663,353412,8122,106123,13541
11/02/21,482416,22881,360800,7388,121616,15493
12/02/21,506038,23622,366749,5949,139289,17673
13/02/21,526369,20331,371462,4713,154907,15618
14/02/21,526369,0,371462,0,154907,0
15/02/21,554745,28376,386049,14587,168696,13789
16/02/21,575766,21021,397840,11791,177926,9230
17/02/21,603667,27901,412970,15130,190697,12771
18/02/21,634037,30370,430124,17154,203913,13216
19/02/21,664347,30310,449073,18949,215274,11361
20/02/21,693436,29089,465842,16769,227594,12320
21/02/21,697245,3809,467656,1814,229589,1995
